task_id,perm_id,variance,avg_jaccard,num_tools
76,3,0.20999999999999996,0.5333333333333333,8
76,4,1.81,0.2848148148148148,8
77,0,7.2,0.2814814814814815,8
77,1,2.2,0.34444444444444444,8
77,2,7.609999999999999,0.20185185185185184,8
77,3,1.16,0.37777777777777777,8
77,4,0.49000000000000005,0.4074074074074074,8
78,0,1.1600000000000001,0.5666666666666667,8
78,1,0.9599999999999997,0.46111111111111114,8
78,2,1.44,0.3259259259259259,8
78,3,1.2,0.5259259259259259,8
78,4,1.5599999999999998,0.4,8
79,0,0.8099999999999999,0.5925925925925926,8
79,1,0.8100000000000002,0.4666666666666667,8
79,2,2.0900000000000003,0.42407407407407405,8
79,3,1.25,0.4,8
79,4,2.25,0.4444444444444444,8
80,0,1.56,0.3518518518518518,8
80,1,1.6,0.30925925925925923,8
80,2,0.6400000000000002,0.6444444444444445,8
80,3,1.44,0.39629629629629626,8
80,4,2.25,0.4444444444444444,8
81,0,1.2,0.29259259259259257,8
81,1,1.21,0.5185185185185185,8
81,2,2.89,0.3881481481481482,8
81,3,2.6399999999999997,0.46666666666666673,8
81,4,1.44,0.4074074074074074,8
82,0,2.04,0.41481481481481486,8
82,1,2.8,0.4925925925925925,8
82,2,5.210000000000001,0.425,8
82,3,1.5599999999999998,0.3722222222222221,8
82,4,0.9600000000000002,0.3259259259259259,8
83,0,2.6400000000000006,0.4222222222222222,8
83,1,1.4900000000000002,0.36296296296296293,8
83,2,1.6900000000000002,0.41481481481481475,8
83,3,1.29,0.41481481481481475,8
83,4,1.29,0.5037037037037038,8
84,0,0.6100000000000001,0.4777777777777778,8
84,1,3.3600000000000003,0.27656084656084656,8
84,2,2.64,0.3492592592592592,8
84,3,2.2400000000000007,0.26629629629629625,8
84,4,3.0,0.3851851851851852,8
85,0,1.89,0.43518518518518506,8
85,1,2.29,0.25592592592592595,8
85,2,1.04,0.4685185185185184,8
85,3,2.6400000000000006,0.4222222222222222,8
85,4,1.56,0.3,8
86,0,1.0,0.22037037037037036,8
86,1,0.96,0.2740740740740741,8
86,2,1.09,0.34814814814814815,8
86,3,1.24,0.30370370370370364,8
86,4,5.36,0.28518518518518515,8
87,0,3.6399999999999997,0.3025925925925926,8
87,1,1.89,0.5333333333333333,8
87,2,1.89,0.3711111111111111,8
87,3,2.6400000000000006,0.3525925925925926,8
87,4,2.6400000000000006,0.3888888888888889,8
88,0,3.0,0.31777777777777777,8
88,1,4.0,0.4444444444444444,8
88,2,2.5600000000000005,0.6444444444444445,8
88,3,3.56,0.4311111111111112,8
88,4,3.5599999999999996,0.4744444444444445,8
89,0,3.81,0.28777777777777774,8
89,1,2.36,0.2866666666666667,8
89,2,3.8900000000000006,0.3717989417989418,8
89,3,1.36,0.3703703703703704,8
89,4,2.16,0.4133333333333334,8
90,0,2.3600000000000003,0.3439153439153439,8
90,1,2.16,0.4288888888888888,8
90,2,2.41,0.3659259259259259,8
90,3,3.3600000000000003,0.36,8
90,4,2.89,0.41666666666666674,8
91,0,1.8400000000000003,0.42333333333333334,8
91,1,2.41,0.21333333333333332,8
91,2,2.6900000000000004,0.32481481481481483,8
91,3,1.64,0.3999999999999999,8
91,4,0.69,0.7003174603174602,8
92,0,2.24,0.39910052910052907,8
92,1,3.5599999999999996,0.4322222222222223,8
92,2,0.2,0.9111111111111111,8
92,3,2.4899999999999998,0.5444444444444445,8
92,4,2.16,0.6154497354497355,8
93,0,1.16,0.37777777777777777,8
93,1,0.8099999999999999,0.4666666666666667,8
93,2,0.6400000000000001,0.6444444444444445,8
93,3,0.9600000000000002,0.4666666666666667,8
93,4,5.010000000000001,0.34166666666666656,8
94,0,1.7600000000000002,0.34888888888888886,8
94,1,1.05,0.4888888888888889,8
94,2,1.16,0.32407407407407407,8
94,3,0.65,0.5666666666666667,8
94,4,0.9600000000000002,0.4666666666666667,8
95,0,1.1600000000000001,0.37777777777777777,8
95,1,6.410000000000001,0.30277777777777776,8
95,2,0.6400000000000001,0.6444444444444445,8
95,3,0.85,0.4666666666666667,8
95,4,2.56,0.25502645502645505,8
96,0,5.41,0.332063492063492,8
96,1,5.6,0.3092063492063492,8
96,2,2.56,0.4133333333333334,8
96,3,2.8,0.48000000000000004,8
96,4,2.85,0.3533333333333333,8
97,0,4.81,0.34793650793650793,8
97,1,1.21,0.24259259259259258,8
97,2,3.8900000000000006,0.336031746031746,8
